
===============================================================
  LISTADO DE PROPIEDADES DE HUBSPOT
===============================================================


===============================================================
  CONTACTOS (Clientes/Usuarios)
===============================================================

Total propiedades: 482
  - Propiedades por defecto: 482
  - Propiedades custom: 0

PROPIEDADES POR DEFECTO:
------------------------------------------------
NOMBRE INTERNO (API)                     | ETIQUETA (LABEL)                         | TIPO            | GRUPO
------------------------------------------------
actividad_economica__csf_                | Actividad económica (CSF)               | string          | contactinformation
address                                  | Street Address                           | string          | contactinformation
agenda_tu_visita                         | Agenda tu visita                         | date            | contactinformation
annualrevenue                            | Annual Revenue                           | string          | contactinformation
antiguedad_en_anos                       | Antigüedad en años                     | number          | contactinformation
asesor_asignado                          | Asesor asignado                          | enumeration     | contactinformation
associatedcompanyid                      | Primary Associated Company ID            | number          | contactinformation
associatedcompanylastupdated             | Associated Company Last Updated          | number          | contactinformation
bandera_registro                         | Bandera_registro                         | string          | contact_activity
banos                                    | Baños                                   | number          | contactinformation
blog_blog_175146569116_subscription      | blog Email Subscription (Español - Méx | enumeration     | contactinformation
calle_o_privada                          | calle o privada                          | string          | contactinformation
calle_o_privada_                         | Calle / Privada y Número #              | string          | contactinformation
campana_identificada                     | Campaña identificada                    | enumeration     | conversioninformation
campana_xante                            | Campaña Xante                           | enumeration     | conversioninformation
city                                     | City                                     | string          | contactinformation
cliente_confirma_visita                  | ¿Cliente realiza visita?                | enumeration     | contactinformation
cliente_no_continua_con_esta_vivienda___ | Cliente no continua con esta vivienda, � | enumeration     | contactinformation
closedate                                | Close Date                               | datetime        | deal_information
codigo_postal_prospecto                  | Código postal prospecto                 | number          | contactinformation
colonia                                  | Colonia                                  | string          | contactinformation
como_deseas_ser_contactado_              | ¿Cómo deseas ser contactado?*          | enumeration     | contactinformation
como_nos_conocio_                        | ¿Cómo nos conoció?*                   | enumeration     | contactinformation
company                                  | Company Name                             | string          | contactinformation
company_size                             | Company size                             | string          | facebook_ads_properties
confirmacion_de_visita                   | Confirmación de visita                  | date            | contactinformation
contacto_registrado_es_titular_de_la_viv | Contacto registrado es titular de la viv | enumeration     | contactinformation
correo_asesor                            | correo_asesor                            | string          | contactinformation
country                                  | Country/Region                           | string          | contactinformation
createdate                               | Create Date                              | datetime        | contactinformation
cuenta_con_equipo                        | Cuenta con equipo                        | enumeration     | contactinformation
cuenta_con_tipo_de_credito_              | ¿Cuenta con tipo de crédito?*          | enumeration     | contactinformation
cuentas_con_algn_tipo_de_crdito_hipoteca | ¿Cuentas con algún tipo de crédito hi | string          | lead_ads
cuentas_con_un_trabajo_formal_o_trabajas | ¿Cuentas con un trabajo formal o trabaj | enumeration     | contactinformation
cul_es_tu_presupuesto_aproximado         | ¿Cuál es tu presupuesto aproximado?    | string          | lead_ads
cumple_con_requisito_minimo_de_5_anos_de | Cumple con requisito mínimo de 3 años  | enumeration     | contactinformation
currentlyinworkflow                      | Currently in workflow (discontinued)     | enumeration     | contact_activity
date_of_birth                            | Date of birth                            | date            | facebook_ads_properties
datos_enviados                           | Datos_enviados                           | string          | contact_activity
days_to_close                            | Days To Close                            | number          | deal_information
degree                                   | Degree                                   | string          | facebook_ads_properties
desea_conocer_la_vivienda_               | ¿Desea conocer la vivienda?             | enumeration     | contactinformation
desea_conocer_nuestras_viviendas_disponi | ¿Desea conocer nuestras viviendas dispo | enumeration     | contactinformation
deseas_agendar_una_visita_a_nuestras_viv | Deseas agendar una visita a nuestras viv | enumeration     | contactinformation
dia_y_hora_llamada                       | Día y hora llamada                      | datetime        | contactinformation
direccion_google                         | Dirección google                        | string          | contactinformation
donde_nos_encontro_                      | ¿Dónde nos encontró?*                 | enumeration     | contactinformation
edad                                     | Edad                                     | number          | contactinformation
el_cliente_desea_continuar               | El cliente desea continuar               | enumeration     | contactinformation
email                                    | Email                                    | string          | contactinformation
en_qu_ubicacin_te_interesa_adquirir      | ¿En qué ubicación te interesa adquiri | string          | lead_ads
engagements_last_meeting_booked          | Date of last meeting booked in meetings  | datetime        | contact_activity
engagements_last_meeting_booked_campaign | Campaign of last booking in meetings too | string          | contact_activity
engagements_last_meeting_booked_medium   | Medium of last booking in meetings tool  | string          | contact_activity
engagements_last_meeting_booked_source   | Source of last booking in meetings tool  | string          | contact_activity
eres_                                    | ¿Eres?                                  | enumeration     | contactinformation
escritura_completa_y_visible             | Escritura completa y visible             | enumeration     | contactinformation
estacionamientos                         | Estacionamientos                         | number          | contactinformation
estado_de_cuenta_hipotecario             | Estado de cuenta hipotecario             | enumeration     | contactinformation
estado_de_interes                        | Estado de interés                       | enumeration     | contactinformation
estado_de_preferencia                    | Estado de preferencia                    | enumeration     | contactinformation
estatus_de_visita                        | Estatus de visita                        | enumeration     | contactinformation
fase                                     | Fase                                     | enumeration     | contactinformation
fax                                      | Fax Number                               | string          | contactinformation
fecha_de_apartado                        | Fecha de apartado*                       | date            | contactinformation
fecha_de_escritura_cliente_fi            | Fecha de escritura cliente FI*           | date            | contactinformation
fecha_de_registro_en_portal              | Fecha de registro en portal              | string          | contact_activity
fecha_de_visita                          | Fecha de visita*                         | date            | contactinformation
fecha_de_visita_fii                      | Fecha de visita FII                      | datetime        | contactinformation
fecha_de_visita_reasignada               | Fecha de visita reasignada               | date            | contactinformation
fecha_portal                             | fecha_portal                             | string          | contact_activity
